Tools,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,MM9,MM10,MM11,MM12,MM13,MM14,MM15,MM16,MM17,MM18,MM19,MM20
blat,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,16,16
blasr,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0
bowtie2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bowtie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bwa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
erne,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
exonerate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
graphmap,1,1,1,1,1,1,1,1,1,u,u,u,u,u,u,u,u,u,u,u
gsnap,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
hisat2,1,2,3,4,5,5,5,5,5,5,u,u,u,u,u,u,u,u,u,u
last,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lordfast,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
microrazers,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
minialign,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
minimap2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MOSAIK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
novoalign,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mummer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nanoblaster,1,2,3,4,5,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8
ngmlr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ngm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
novoalign,1,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
rmap,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
segemehl,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
shrimp,1,2,3,4,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10
smalt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
soapsplice,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
splazers,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
STAR,1,2,3,4,5,6,7,8,9,10,u,u,u,u,u,u,u,u,u,u
subread,1,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
tophat2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
